date,open,high,low,close,volume
2015-01-02,95.3144,95.7186,94.1018,94.5611,31314600
2015-01-05,94.1478,94.258,92.9077,93.1741,36521300
2015-01-06,93.3118,93.468,91.5114,91.9248,66205500
2015-01-07,92.531,93.3302,92.3106,93.1097,37577400
2015-01-08,93.8998,95.0756,93.7987,94.8919,40212600
2015-01-09,95.1858,95.2134,93.716,94.2672,41410100
2015-01-12,94.4509,94.5519,93.0454,93.2843,34129800
2015-01-13,94.1937,95.1858,92.5035,93.2568,56162300
2015-01-14,92.3198,93.22,91.9248,92.7423,51354200
2015-01-15,93.1741,93.321,91.4287,91.5389,51005400
2015-01-16,91.4195,92.7331,91.2726,92.6137,35362200
2015-01-20,93.174,93.5874,92.1268,93.3486,30964100
2015-01-21,93.073,94.2672,92.7423,93.8263,40128800
2015-01-22,94.1937,95.6635,93.367,95.5624,40887200
2015-01-23,95.5532,96.0676,95.2776,95.7737,34783000
2015-01-26,95.6635,95.838,95.1766,95.6635,19960900
2015-01-27,94.1569,94.2121,92.8709,93.1832,45253200
2015-01-28,94.6806,94.7816,92.6872,92.7056,43591700
2015-01-29,92.6321,93.7711,91.8237,93.5966,46539700
2015-01-30,93.5139,94.2305,92.7423,92.8709,42927600
2015-02-02,93.0822,93.762,91.6308,93.6793,43624700
2015-02-03,94.0192,94.6439,93.4037,94.5796,30750400
2015-02-04,94.1937,95.1215,93.9824,94.4968,34073200
2015-02-05,94.7357,95.3787,94.4968,95.3144,23605500
2015-02-06,95.4614,95.691,94.3958,94.7357,34169300
2015-02-09,94.3683,94.8827,94.2029,94.4326,22604700
2015-02-10,94.9561,96.0309,94.8091,95.9023,23686500
2015-02-11,96.0126,96.4719,95.8289,96.2514,20303600
2015-02-12,96.876,97.4088,96.729,97.3721,22520300
2015-02-13,97.6477,98.2264,97.4639,98.208,29030200
2015-02-17,98.208,98.3642,97.96,98.2999,17675300
2015-02-18,98.1804,98.4928,98.0518,98.4377,15149600
2015-02-19,98.3733,98.9888,98.3458,98.9245,19828100
2015-02-20,98.8602,99.641,98.5479,99.5859,28336700
2015-02-23,99.5308,99.7145,99.3103,99.687,17868000
2015-02-24,99.5584,99.8799,99.2552,99.7605,19745000
2015-02-25,99.6135,99.9993,99.292,99.5124,19472300
2015-02-26,99.6135,100.0728,99.3379,100.0176,22255500
2015-02-27,99.9809,100.0452,99.4206,99.5767,27757600
2015-03-02,99.7696,100.5137,99.7513,100.477,22988600
2015-03-03,100.1738,100.2749,99.3746,100.0085,20788900
2015-03-04,99.6778,99.8248,99.0807,99.6227,21007400
2015-03-05,99.8799,100.1003,99.3838,99.7972,15381000
2015-03-06,99.6686,99.8615,98.4193,98.6673,30990400
2015-03-09,98.8694,99.2001,98.4652,98.9521,26237100
2015-03-10,98.2447,98.2723,97.1149,97.1149,34234500
2015-03-11,97.2618,97.3813,96.5178,96.5545,25459700
2015-03-12,96.481,97.2986,96.4167,97.1884,21473200
2015-03-13,97.0965,97.4823,96.1595,96.7658,42021100
2015-03-16,97.1241,98.0519,97.023,98.0151,25674100
2015-03-17,97.7487,98.3274,97.519,98.1712,19603800
2015-03-18,97.9049,99.5859,97.3996,99.1358,40622200
2015-03-19,99.2369,99.5584,99.0899,99.2828,31314000
2015-03-20,100.1004,100.4226,99.907,99.9254,31761400
2015-03-23,99.8702,100.1464,99.6952,99.7321,17268500
2015-03-24,99.7229,100.1832,99.3546,99.373,22445300
2015-03-25,99.5295,99.6216,97.062,97.0988,41581400
2015-03-26,96.2978,97.3198,95.9756,96.7674,47846300
2015-03-27,96.749,97.3843,96.6016,97.1541,33878400
2015-03-30,97.7434,98.351,97.7434,98.2682,30570200
2015-03-31,97.9919,98.1945,97.2001,97.2277,30488100
2015-04-01,97.2277,97.2461,96.0952,96.7213,32970500
2015-04-02,96.8134,97.0988,96.4727,96.7858,19164200
2015-04-06,96.215,97.8446,96.0677,97.5776,24451100
2015-04-07,97.5224,98.2405,97.4119,97.4119,19379400
2015-04-08,97.4487,98.3234,97.4395,98.1853,25866900
2015-04-09,98.1392,98.839,97.8078,98.8022,23114700
2015-04-10,98.7653,99.2165,98.5444,99.2073,17164300
2015-04-13,99.2809,99.7873,98.8482,98.9587,17783500
2015-04-14,98.8574,99.1428,98.1116,98.6733,23755700
2015-04-15,98.9311,99.5019,98.8114,99.2901,21128600
2015-04-16,99.0231,99.327,98.885,99.152,16195300
2015-04-17,98.2037,98.4707,97.1817,97.6052,46514000
2015-04-20,98.0932,99.2441,98.0564,99.0692,28945900
2015-04-21,99.64,99.815,99.373,99.4927,22759800
2015-04-22,99.7505,100.2016,99.106,100.0359,21429200
2015-04-23,99.6953,100.8646,99.6769,100.4134,29473200
2015-04-24,101.4723,101.9142,101.3065,101.7761,32508100
2015-04-27,102.1535,102.3469,101.2973,101.5183,31121300
2015-04-28,101.5919,101.7853,100.4595,101.3157,36849200
2015-04-29,100.7541,101.3434,100.128,100.6804,34043900
2015-04-30,100.1096,100.5147,98.572,99.0968,44080500
2015-05-01,99.4835,100.4686,99.4651,100.4042,32874300
2015-05-04,100.7265,101.196,100.5147,100.5699,23507300
2015-05-05,100.174,100.3582,98.885,98.931,47843300
2015-05-06,99.106,99.3914,97.596,98.2497,42687200
2015-05-07,98.2221,99.1152,98.1484,98.839,29335800
2015-05-08,99.861,100.2845,99.7137,100.0728,33023300
2015-05-11,100.1372,100.3398,99.6124,99.6861,19679300
2015-05-12,99.0968,99.7413,98.3326,99.2349,33665000
2015-05-13,99.6676,100.1832,99.2901,99.4375,20738400
2015-05-14,100.2477,100.9751,99.8794,100.8922,23904200
2015-05-15,101.15,101.2881,100.6436,100.8922,23937400
2015-05-18,100.7265,101.5367,100.6528,101.3341,17631100
2015-05-19,101.4446,101.6011,101.0579,101.2237,14212900
2015-05-20,101.2973,101.8958,100.7541,101.2881,21131900
2015-05-21,101.1132,101.951,100.9659,101.8129,16771800
2015-05-22,101.6932,102.0799,101.6287,101.7116,13543800
2015-05-26,101.4907,101.6288,100.1372,100.5423,25488400
2015-05-27,100.8461,102.2733,100.6252,102.1628,30572700
2015-05-28,101.9694,102.2088,101.6196,101.9326,17302400
2015-05-29,101.8682,102.0063,101.0856,101.3249,30383000
2015-06-01,101.8681,101.9418,100.8369,101.6656,24570200
2015-06-02,101.2881,101.8406,100.7909,101.3434,19449600
2015-06-03,101.8037,102.0247,101.3986,101.6472,20507200
2015-06-04,101.0763,101.7208,100.5515,100.8738,31374600
2015-06-05,100.7541,100.9935,100.0175,100.6344,22641700
2015-06-08,100.5884,100.662,99.4099,99.6124,24549200
2015-06-09,99.373,99.8057,98.7009,99.4467,27554600
2015-06-10,99.7873,101.104,99.6768,100.8093,30297900
2015-06-11,101.15,101.417,100.7817,100.9566,17593500
2015-06-12,100.4226,100.6344,99.9899,100.128,27201800
2015-06-15,99.3822,99.7873,98.8022,99.6308,31238800
2015-06-16,99.5295,100.3398,99.4835,100.174,16456900
2015-06-17,100.3398,100.7725,99.8334,100.4502,23296700
2015-06-18,100.8185,102.0891,100.7633,101.9142,43032400
2015-06-19,101.9641,102.0471,101.3365,101.4104,27877600
2015-06-22,102.1578,102.4624,101.9271,102.1578,19120900
2015-06-23,102.2685,102.3331,101.8163,102.2409,18127900
2015-06-24,102.1209,102.5547,101.6872,101.7149,15815900
2015-06-25,102.1117,102.2132,101.3457,101.5118,18326700
2015-06-26,101.4934,101.7241,100.4598,100.8382,32311700
2015-06-29,99.7215,100.2752,98.4111,98.4573,50874900
2015-06-30,99.1955,99.4078,98.5034,98.8079,34809900
2015-07-01,99.7861,99.9892,99.1309,99.5924,21293000
2015-07-02,99.8784,99.9615,99.3155,99.62,20499400
2015-07-06,98.9925,99.9615,98.7802,99.3893,24311000
2015-07-07,99.5,99.7308,97.6636,99.6385,44230800
2015-07-08,98.9279,99.0479,97.719,97.9035,39691500
2015-07-09,99.2048,99.297,97.839,97.8482,28381000
2015-07-10,99.1494,99.7123,98.7895,99.3432,26415800
2015-07-13,100.2014,101.1704,100.1922,101.0873,25780700
2015-07-14,101.2257,102.0286,101.1704,101.7518,21977200
2015-07-15,101.9456,102.2593,101.5764,101.8625,28631500
2015-07-16,102.7023,103.3206,102.4993,103.3021,29838900
2015-07-17,104.1327,104.8248,103.9574,104.8248,35926800
2015-07-20,105.0463,105.5631,104.7233,105.1847,26539000
2015-07-21,105.2216,105.3877,104.8156,105.1201,35468900
2015-07-22,103.5144,104.4372,103.5144,103.9297,35575000
2015-07-23,104.0312,104.3726,103.2745,103.5421,25698300
2015-07-24,104.0958,104.2803,102.3701,102.5269,30844700
2015-07-27,101.9456,102.3885,101.4565,101.6779,35994800
2015-07-28,102.1301,102.7577,101.318,102.5546,33553500
2015-07-29,102.7761,103.1637,102.3793,102.9422,26714100
2015-07-30,102.7023,103.6067,102.084,103.4313,25438100
2015-07-31,103.7543,103.8097,103.0991,103.3113,22081700
2015-08-03,103.3298,103.6159,102.3055,102.9884,25001800
2015-08-04,102.9423,103.1268,102.3701,102.7946,22132300
2015-08-05,103.3667,104.2803,103.2468,103.5882,28989900
2015-08-06,103.6805,103.8189,101.4657,101.9271,42125400
2015-08-07,101.6779,102.0378,100.9581,101.7979,30006800
2015-08-10,102.4439,103.1821,102.4346,102.9607,21500800
2015-08-11,102.4162,102.813,101.0781,101.641,36123300
2015-08-12,100.9397,102.1947,99.8692,101.9917,41889000
2015-08-13,102.0932,102.5823,101.6041,101.8256,22510500
2015-08-14,101.5857,102.1301,101.3826,101.9825,17924900
2015-08-17,101.7333,102.8592,101.4749,102.8315,21224900
2015-08-18,102.6931,102.7761,102.167,102.3055,13984400
2015-08-19,101.9917,102.5362,101.0412,101.6318,42511400
2015-08-20,100.6905,101.0135,98.8079,98.8172,57747300
2015-08-21,97.4237,98.2542,94.4983,94.4983,97763400
2015-08-24,86.9587,94.6182,78.201,90.8623,150829900
2015-08-25,94.1938,94.8121,90.4471,90.5209,75088300
2015-08-26,93.1694,95.2643,91.2961,95.0797,104103800
2015-08-27,96.4547,97.5529,95.3104,97.4883,69377700
2015-08-28,96.9715,97.8205,96.7592,97.4698,49919600
2015-08-31,96.9253,97.4606,96.021,96.2609,39549400
2015-09-01,93.8615,95.3196,92.8648,93.2524,73155500
2015-09-02,94.9412,95.901,93.8523,95.8825,43963600
2015-09-03,96.2609,96.9161,95.1443,95.4119,45131800
2015-09-04,94.1015,94.9136,93.7508,94.2768,49379600
2015-09-08,96.0856,97.0545,95.6888,96.9346,37343500
2015-09-09,98.0789,98.1066,95.5965,95.8456,47146700
2015-09-10,95.7349,97.5252,95.6241,96.8884,47686700
2015-09-11,96.4455,97.4237,96.1686,97.4237,29106100
2015-09-14,97.7836,97.802,96.7592,97.1284,19718800
2015-09-15,97.3591,98.5772,96.9992,98.2727,30020200
2015-09-16,98.2911,98.9186,97.9497,98.8264,31329100
2015-09-17,98.7249,100.3398,98.4111,98.8633,56139800
2015-09-18,97.3462,98.6135,97.2907,97.4572,48384000
2015-09-21,97.9937,98.5673,96.8836,97.7625,35772600
2015-09-22,96.2638,96.5969,95.4035,96.3008,47359700
2015-09-23,96.5598,96.8189,95.8753,96.3748,21775100
2015-09-24,95.4405,96.3841,94.608,96.0233,38284300
2015-09-25,97.0501,97.1426,94.6172,95.2092,44700000
2015-09-28,94.8022,94.867,92.2212,92.4988,44077500
2015-09-29,92.73,93.6736,91.3517,92.0177,49315500
2015-09-30,93.3313,94.2379,92.9705,94.1361,41411400
2015-10-01,94.3027,94.5709,93.0538,94.5617,39339100
2015-10-02,93.2481,96.2176,92.952,96.2176,59370900
2015-10-05,96.9299,97.8549,96.7171,97.5959,32853500
2015-10-06,97.3647,97.6885,96.3748,97.1334,33051500
2015-10-07,97.7439,97.929,96.4766,97.7162,37389300
2015-10-08,97.3462,98.2712,96.4026,98.1047,50188900
2015-10-09,98.151,98.7338,97.8827,98.5488,23916200
2015-10-12,98.7338,98.9743,98.3823,98.7893,16162000
2015-10-13,98.225,99.2241,98.0585,98.151,26999600
2015-10-14,98.151,98.6413,97.5867,97.9937,30902600
2015-10-15,98.3545,99.6126,98.225,99.6033,38393800
2015-10-16,99.8161,100.0751,99.3351,100.0196,27091100
2015-10-19,99.8901,100.6579,99.6681,100.5932,23776300
2015-10-20,100.4174,100.6302,99.7329,100.0751,23404700
2015-10-21,100.584,100.6857,99.4276,99.4646,30195200
2015-10-22,100.3527,101.5738,100.0659,101.4905,42778700
2015-10-23,104.2195,104.756,103.6737,104.3305,53170900
2015-10-26,104.2565,104.5988,103.8587,104.3953,25918000
2015-10-27,104.1177,104.756,104.09,104.608,31390500
2015-10-28,104.7653,105.4776,103.9235,105.4776,42221900
2015-10-29,104.9966,105.4869,104.8856,105.3111,24913300
2015-10-30,105.3574,105.5331,104.8116,104.8393,27199200
2015-11-02,105.1168,106.1529,104.8948,106.0234,22176900
2015-11-03,105.8106,106.7727,105.6534,106.3934,20418400
2015-11-04,106.745,106.819,105.9587,106.4027,28633000
2015-11-05,106.4952,106.7542,105.5609,106.1159,25004100
2015-11-06,105.9124,106.3102,105.2371,106.1899,29924900
2015-11-09,105.7921,105.9309,104.4138,105.0613,33479800
2015-11-10,104.5063,104.8948,104.1918,104.7931,35452100
2015-11-11,105.0799,105.5887,104.4878,104.6636,22748800
2015-11-12,104.238,104.7468,103.5719,103.6459,31196900
2015-11-13,103.2112,103.3222,101.5553,101.6108,52836000
2015-11-16,101.509,103.0909,101.2778,103.0724,33980600
2015-11-17,103.2482,103.8772,102.8781,103.1372,30579500
2015-11-18,103.5534,105.2186,103.4517,105.1168,32966500
2015-11-19,105.1723,105.6719,104.9873,105.1908,26188100
2015-11-20,105.6904,105.9864,105.5886,105.9031,22727600
2015-11-23,105.9402,106.3287,105.1446,105.5979,20696200
2015-11-24,104.9133,105.7551,104.386,105.5053,26374400
2015-11-25,105.6626,105.7922,105.3759,105.5979,14159900
2015-11-27,105.8292,105.9587,105.3851,105.7459,8828000
2015-11-30,106.0604,106.0604,105.1353,105.4776,25041600
2015-12-01,105.9032,106.5322,105.7737,106.5322,28639400
2015-12-02,106.6155,107.078,105.7181,105.8754,22395500
2015-12-03,106.1622,106.3472,103.4609,104.0808,42754300
2015-12-04,104.3953,106.6895,104.1825,106.5137,40037300
2015-12-07,106.5877,106.6525,105.5239,106.0327,25892100
2015-12-08,104.9226,106.3842,104.8856,106.0419,30792600
2015-12-09,105.5794,106.1622,103.794,104.4323,48509200
2015-12-10,104.6728,105.6071,104.3583,104.9041,30154600
