date,open,high,low,close,volume
2015-01-02,24.6484,24.6595,23.7545,24.1926,212818400
2015-01-05,23.9625,24.0421,23.3252,23.5111,257142000
2015-01-06,23.5752,23.7722,23.1526,23.5133,263188400
2015-01-07,23.7213,23.9426,23.6106,23.843,160423600
2015-01-08,24.1705,24.8166,24.0532,24.7591,237458000
2015-01-09,24.9317,25.06,24.3873,24.7856,214798000
2015-01-12,24.9162,24.9228,24.0753,24.1749,198603200
2015-01-13,24.6573,24.9604,24.0997,24.3895,268367600
2015-01-14,24.1284,24.4493,24.0089,24.2966,195826400
2015-01-15,24.3409,24.3541,23.6018,23.6372,240056000
2015-01-16,23.6837,23.8054,23.2787,23.4535,314053200
2015-01-20,23.8629,24.1129,23.5664,24.0576,199599600
2015-01-21,24.1085,24.5754,23.958,24.2413,194303600
2015-01-22,24.3984,24.8874,24.2789,24.8719,215185600
2015-01-23,24.8498,25.1707,24.6794,25.0003,185859200
2015-01-26,25.1684,25.3056,24.9604,25.0268,222460000
2015-01-27,24.8764,24.8896,24.1262,24.1506,382274800
2015-01-28,26.0292,26.1377,25.5159,25.5159,585908400
2015-01-29,25.7394,26.3744,25.5712,26.3103,337745600
2015-01-30,26.1996,26.5537,25.8566,25.9252,334982000
2015-02-02,26.1222,26.37,25.6862,26.2505,250956400
2015-02-03,26.2217,26.3523,26.0248,26.2549,207662800
2015-02-04,26.2217,26.6665,26.1797,26.4563,280598800
2015-02-05,26.6629,26.7096,26.4918,26.6451,168984800
2015-02-06,26.6629,26.714,26.3141,26.4208,174826400
2015-02-09,26.3363,26.6229,26.3097,26.5963,155559200
2015-02-10,26.6962,27.1361,26.694,27.1072,248034000
2015-02-11,27.2738,27.7515,27.2138,27.7426,294247200
2015-02-12,28.0047,28.3202,27.8959,28.0936,297898000
2015-02-13,28.2757,28.2757,27.9136,28.2313,217088800
2015-02-17,28.3224,28.6312,28.1958,28.3979,252609600
2015-02-18,28.3535,28.609,28.3135,28.5956,179566800
2015-02-19,28.5423,28.6645,28.509,28.5357,149449600
2015-02-20,28.5734,28.7689,28.4468,28.7689,195793600
2015-02-23,28.8844,29.5465,28.8045,29.5465,283896400
2015-02-24,29.5331,29.6798,29.1399,29.3621,276912400
2015-02-25,29.2266,29.2354,28.469,28.6112,298846800
2015-02-26,28.6112,29.0733,28.1269,28.9733,365150000
2015-02-27,28.88,29.0066,28.489,28.5379,248059200
2015-03-02,28.7134,28.9422,28.5023,28.6778,192386800
2015-03-03,28.649,28.7734,28.4557,28.7378,151265200
2015-03-04,28.6801,28.7823,28.5068,28.5557,126665200
2015-03-05,28.5645,28.6023,27.9381,28.0825,226068400
2015-03-06,28.5246,28.74,28.0491,28.1247,291368400
2015-03-09,28.4268,28.7845,27.7826,28.2446,354114000
2015-03-10,28.0825,28.2624,27.5026,27.6604,275426400
2015-03-11,27.7137,27.7181,27.1272,27.1561,275756000
2015-03-12,27.1716,27.747,27.0206,27.6471,193450800
2015-03-13,27.6359,27.8581,27.2316,27.456,207309200
2015-03-16,27.5204,27.7581,27.2961,27.7581,143497200
2015-03-17,27.9692,28.2846,27.9136,28.2224,204092400
2015-03-18,28.2135,28.6934,28.0736,28.5401,261083600
2015-03-19,28.6023,28.7134,28.3024,28.3246,183238000
2015-03-20,28.4912,28.5246,27.8048,27.9692,274780400
2015-03-23,28.2402,28.4024,28.1069,28.2602,150838800
2015-03-24,28.2646,28.4446,28.1158,28.1447,131369200
2015-03-25,28.1114,28.1736,27.4093,27.4093,206620800
2015-03-26,27.2716,27.7426,27.2361,27.6004,190291600
2015-03-27,27.6737,27.7026,27.3049,27.3805,158184800
2015-03-30,27.5582,28.0803,27.5471,28.0736,188398800
2015-03-31,28.0114,28.1002,27.6271,27.6426,168362400
2015-04-01,27.7292,27.7959,27.3471,27.6026,162485600
2015-04-02,27.7759,27.8936,27.5893,27.8403,128880400
2015-04-06,27.6515,28.3268,27.6204,28.2913,148776000
2015-04-07,28.3557,28.4624,27.9869,27.9936,140049200
2015-04-08,27.9581,28.0803,27.7626,27.9025,149316800
2015-04-09,27.9581,28.1202,27.6937,28.1158,129936000
2015-04-10,27.9803,28.2602,27.827,28.2358,160752000
2015-04-13,28.5179,28.5623,28.1269,28.1802,145460400
2015-04-14,28.2135,28.278,27.9714,28.058,102098400
2015-04-15,28.0825,28.2424,27.9936,28.1647,115881600
2015-04-16,28.0536,28.2358,28.0158,28.0292,113476000
2015-04-17,27.8914,28.0225,27.6493,27.7137,207828000
2015-04-20,27.8959,28.4623,27.807,28.3468,188217200
2015-04-21,28.4579,28.4801,28.1402,28.1935,129740400
2015-04-22,28.2113,28.629,28.0625,28.5734,150618000
2015-04-23,28.5023,28.9733,28.4668,28.8067,183083600
2015-04-24,28.9889,29.02,28.7089,28.9422,178103600
2015-04-27,29.3932,29.5753,29.1355,29.4687,387816800
2015-04-28,29.8708,29.8886,28.7845,29.0044,475696000
2015-04-29,28.9156,29.2332,28.5023,28.5779,253544400
2015-04-30,28.5779,28.5779,27.6759,27.8026,332781600
2015-05-01,28.0136,28.9089,27.8359,28.6467,234050400
2015-05-04,28.7689,29.0066,28.4935,28.5912,203953200
2015-05-05,28.469,28.5357,27.9425,27.947,197085600
2015-05-06,28.1158,28.158,27.4049,27.7715,288564000
2015-05-07,27.8339,28.1262,27.6666,27.9432,175763600
2015-05-08,28.26,28.4697,28.1329,28.4697,222201600
2015-05-11,28.4184,28.4563,28.0258,28.1797,168143200
2015-05-12,28.0191,28.3046,27.8451,28.0793,192640000
2015-05-13,28.1418,28.3738,28.0793,28.1105,138776800
2015-05-14,28.4229,28.7664,28.3671,28.7664,180814000
2015-05-15,28.7932,28.8869,28.6013,28.7262,152832000
2015-05-18,28.6392,29.1613,28.6348,29.043,203531600
2015-05-19,29.1546,29.1969,28.9203,29.0162,178532800
2015-05-20,29.0006,29.2193,28.8534,29.014,145819600
2015-05-21,29.0163,29.3643,28.9627,29.3107,158921600
2015-05-22,29.3576,29.6632,29.3129,29.5673,182384000
2015-05-26,29.5807,29.6498,28.8043,28.9159,282790400
2015-05-27,29.0765,29.5048,29.0118,29.4557,183332800
2015-05-28,29.4156,29.4356,29.246,29.3977,122933200
2015-05-29,29.275,29.3241,28.9783,29.0631,203538000
2015-06-01,29.0631,29.3107,29.0118,29.1211,128451200
2015-06-02,28.9694,29.1479,28.8489,28.9917,134670400
2015-06-03,29.1479,29.2103,28.9783,29.0274,123934000
2015-06-04,28.9069,29.13,28.7575,28.8579,153800400
2015-06-05,28.8891,28.9315,28.6348,28.6995,142507200
2015-06-08,28.7552,28.8244,28.2935,28.5099,210699200
2015-06-09,28.2645,28.5723,28.0235,28.4251,224301600
2015-06-10,28.5366,28.8534,28.521,28.7508,156349200
2015-06-11,28.8177,29.0408,28.6616,28.6861,141563600
2015-06-12,28.5969,28.6281,28.3559,28.3693,147544800
2015-06-15,28.1306,28.3849,28.0436,28.3135,175955600
2015-06-16,28.3381,28.521,28.1908,28.4652,125976400
2015-06-17,28.492,28.5277,28.2734,28.3983,131672400
2015-06-18,28.3827,28.6236,28.3805,28.5277,141628800
2015-06-19,28.4898,28.5143,28.1975,28.2422,218867600
