filing_date,transaction_date,form,issuer,ticker,issuer_cik,table,security,code,code_label,acquired_disposed,shares,price_per_share,value_usd,shares_owned_after,direct_indirect,deriv_exercise_price,deriv_underlying_shares,rule_10b5_1,accession,url
2011-01-25,2009-12-04,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),A,grant/award/acquisition,A,838996,0,0.0,838996,D,6.63,838996,,0001494730-11-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473011000002/edgardoc.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,C,conversion of derivative,A,20655342,,,23322008,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,C,conversion of derivative,A,3700575,,,27022583,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,X,exercise of in-the-money derivative,A,113908,,,27136491,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,F,shares withheld for tax,D,21728,17.00,369376.0,27114763,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,1415167,17.00,24057839.0,25699596,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series A Preferred Stock,C,conversion of derivative,D,4880343,,,0,I,,1626781,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series B Preferred Stock,C,conversion of derivative,D,12162167,,,0,I,,4054053,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series C Preferred Stock,C,conversion of derivative,D,10572687,,,0,I,,3700575,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series D Preferred Stock,C,conversion of derivative,D,4097877,,,0,I,,1365959,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series E Preferred Stock,C,conversion of derivative,D,40825647,,,0,I,,13608549,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series C Warrants (right to buy),X,exercise of in-the-money derivative,D,325441,,,0,I,,113908,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2011-02-23,2011-02-18,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,J,other acquisition/disposition,A,15969,0,0.0,25715565,I,,,,0001494730-11-000004,https://www.sec.gov/Archives/edgar/data/1494730/000149473011000004/edgardoc.xml
2011-06-09,2011-06-08,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,1416000,28.76,40724160.0,27131565,I,,,,0001494730-11-000006,https://www.sec.gov/Archives/edgar/data/1494730/000149473011000006/edgardoc.xml
2012-03-22,2012-03-20,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,J,other acquisition/disposition,A,36274,0,0.0,27167839,I,,,,0001494730-12-000001,https://www.sec.gov/Archives/edgar/data/1494730/000149473012000001/edgardoc.xml
2012-08-15,2012-08-13,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),A,grant/award/acquisition,A,5274901,0,0.0,5274901,D,31.17,5274901,,0001494730-12-000003,https://www.sec.gov/Archives/edgar/data/1494730/000149473012000003/edgardoc.xml
2012-10-05,2012-10-03,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,35398,28.25,999993.5,27203237,I,,,,0001494730-12-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473012000005/edgardoc.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,10491720,,,10609976,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,2897342,,,13507318,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,478871,,,13986189,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,2279826,,,16266015,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,1033592,,,17299607,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,1550384,,,18849991,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,P,open-market/private purchase,A,1875000,8.00,15000000.0,20724991,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,deriv,Series A Preferred Stock,C,conversion of derivative,D,10491720,,,0,I,,10491720,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,deriv,Series B Preferred Stock,C,conversion of derivative,D,2897342,,,0,I,,2897342,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,deriv,Series C Preferred Stock,C,conversion of derivative,D,478871,,,0,I,,478871,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,deriv,Series D Preferred Stock,C,conversion of derivative,D,2279826,,,0,I,,2279826,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,deriv,Series F Preferred Stock,C,conversion of derivative,D,1033592,,,0,I,,1033592,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,deriv,Series G Preferred Stock,C,conversion of derivative,D,627220,,,0,I,,627220,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-28,2012-12-26,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,P,open-market/private purchase,A,48664,11.0621,538326.03,20773655,I,,,,0001288257-12-000028,https://www.sec.gov/Archives/edgar/data/1494730/000128825712000028/primary_doc.xml
2012-12-28,2012-12-27,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,P,open-market/private purchase,A,40306,11.1971,451310.31,20813961,I,,,,0001288257-12-000028,https://www.sec.gov/Archives/edgar/data/1494730/000128825712000028/primary_doc.xml
2013-04-10,2013-04-08,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),A,grant/award/acquisition,A,350,0,0.0,350,D,41.83,350,,0001494730-13-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000002/edgardoc.xml
2013-05-31,2013-05-30,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,1084129,92.24,100000058.96,28287366,I,,,,0001494730-13-000004,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000004/edgardoc.xml
2013-06-19,2013-06-10,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),A,grant/award/acquisition,A,350.0,0.0,0.0,350,D,100.05,350,,0001494730-13-000006,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000006/edgardoc.xml
2013-10-22,2013-10-21,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,P,open-market/private purchase,A,214869,46.54,10000003.26,21028830,I,,,,0001288257-13-000041,https://www.sec.gov/Archives/edgar/data/1494730/000128825713000041/primary_doc.xml
2013-11-12,2013-11-07,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,J,other acquisition/disposition,A,1256.0,0.0,0.0,28288622,I,,,,0001494730-13-000008,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000008/edgardoc.xml
2013-11-15,2013-11-14,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,103,0,0.0,21028933,I,,,,0001288257-13-000047,https://www.sec.gov/Archives/edgar/data/1494730/000128825713000047/primary_doc.xml
2013-12-11,2013-12-09,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,A,grant/award/acquisition,A,75.0,0.0,0.0,75,D,,,,0001494730-13-000010,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000010/edgardoc.xml
2014-05-13,2014-05-09,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,103,0.00,0.0,21029036,I,,,,0001209191-14-033269,https://www.sec.gov/Archives/edgar/data/1494730/000120919114033269/doc4.xml
2014-05-13,2014-05-09,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,15110,0.00,0.0,21044146,I,,,,0001209191-14-033269,https://www.sec.gov/Archives/edgar/data/1494730/000120919114033269/doc4.xml
2014-06-23,2014-06-19,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,51,0,0.0,21044197,I,,,,0001408356-14-000002,https://www.sec.gov/Archives/edgar/data/1494730/000140835614000002/edgar.xml
2014-07-17,2014-07-15,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,51,0,0.0,21044248,I,,,,0001408356-14-000017,https://www.sec.gov/Archives/edgar/data/1494730/000140835614000017/edgar.xml
2015-01-22,2014-08-01,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,51,0,0.0,21044299,I,,,,0001408356-15-000004,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000004/edgar.xml
2015-01-22,2014-09-12,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,51,0,0.0,21044350,I,,,,0001408356-15-000004,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000004/edgar.xml
2014-11-28,2014-11-25,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,G,gift,D,363000,0,0.0,20681248,I,,,,0001408356-14-000069,https://www.sec.gov/Archives/edgar/data/1494730/000140835614000069/edgar.xml
2015-03-04,2015-03-02,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,46,0,0.0,20681396,I,,,,0001408356-15-000018,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000018/edgar.xml
2015-03-13,2015-03-11,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,43,0,0.0,20681439,I,,,,0001408356-15-000022,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000022/edgar.xml
2015-04-27,2015-04-23,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,46,0,0.0,20681485,I,,,,0001408356-15-000026,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000026/edgar.xml
2015-05-18,2015-05-15,4,SOLARCITY CORP,SCTY,0001408356,deriv,Option to Purchase Common Stock,A,grant/award/acquisition,A,30000,0,0.0,30000,D,62.51,30000,,0001408356-15-000043,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000043/edgar.xml
2015-06-15,2015-06-12,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,43,0,0.0,20681528,I,,,,0001408356-15-000050,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000050/edgar.xml
2015-08-06,2015-08-04,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,44,0,0.0,20681572,I,,,,0001408356-15-000058,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000058/edgar.xml
2015-08-21,2015-08-19,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,82645.0,242.0,20000090.0,28371342,I,,,,0001494730-15-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473015000002/edgardoc.xml
2015-08-24,2015-08-24,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,P,open-market/private purchase,A,123510,40.4855,5000364.11,20805082,I,,,,0001408356-15-000072,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000072/edgar.xml
2015-09-10,2015-09-08,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,43,0,0.0,20805125,I,,,,0001408356-15-000081,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000081/edgar.xml
2015-11-13,2015-11-12,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,P,open-market/private purchase,A,83955,25.2025,2115875.89,20889080,I,,,,0001408356-15-000085,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000085/edgar.xml
2015-11-13,2015-11-13,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,P,open-market/private purchase,A,223197,25.4044,5670185.87,21112277,I,,,,0001408356-15-000085,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000085/edgar.xml
2015-11-16,2015-11-16,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,P,open-market/private purchase,A,198615,26.4487,5253108.55,21310892,I,,,,0001408356-15-000088,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000088/edgar.xml
2016-02-16,2015-12-07,5,SOLARCITY CORP,SCTY,0001408356,deriv,Zero Coupon Convertible Senior Notes due 2020,P,open-market/private purchase,A,,0,,,I,33.00,303030,,0001408356-16-000117,https://www.sec.gov/Archives/edgar/data/1494730/000140835616000117/edgar.xml
2015-12-16,2015-12-14,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,51,0,0.0,21112328,I,,,,0001408356-15-000093,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000093/edgar.xml
2015-12-22,2015-12-21,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,G,gift,D,35000,0,0.0,21275943,I,,,,0001408356-15-000104,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000104/edgar.xml
2016-01-05,2016-01-04,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,J,other acquisition/disposition,A,51,0,0.0,21275994,I,,,,0001408356-16-000108,https://www.sec.gov/Archives/edgar/data/1494730/000140835616000108/edgar.xml
2016-01-29,2016-01-27,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,M,exercise/conversion of derivative,A,532000.0,6.63,3527160.0,28903342,I,,,,0001494730-16-000004,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000004/edgardoc.xml
2016-01-29,2016-01-27,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),M,exercise/conversion of derivative,D,532000.0,0.0,0.0,2823986,D,6.63,532000,,0001494730-16-000004,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000004/edgardoc.xml
2016-02-10,2016-02-08,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,M,exercise/conversion of derivative,A,676000.0,6.63,4481880.0,29579342,I,,,,0001494730-16-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000005/edgardoc.xml
2016-02-10,2016-02-08,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),M,exercise/conversion of derivative,D,676000.0,0.0,0.0,2147986,D,6.63,676000,,0001494730-16-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000005/edgardoc.xml
2016-02-12,2016-02-12,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,P,open-market/private purchase,A,569680,17.5559,10001245.11,21845674,I,,,,0001408356-16-000114,https://www.sec.gov/Archives/edgar/data/1494730/000140835616000114/edgar.xml
2016-05-23,2016-05-19,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,M,exercise/conversion of derivative,A,2147986.0,6.63,14241147.18,31727328,I,,,,0001494730-16-000007,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000007/edgardoc.xml
2016-05-23,2016-05-19,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,M,exercise/conversion of derivative,A,3355986.0,6.63,22250187.18,35083314,I,,,,0001494730-16-000007,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000007/edgardoc.xml
2016-05-23,2016-05-19,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,G,gift,D,1200000.0,0.0,0.0,33883314,I,,,,0001494730-16-000007,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000007/edgardoc.xml
2016-05-23,2016-05-19,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),M,exercise/conversion of derivative,D,2147986.0,0.0,0.0,3355986,D,6.63,2147986,,0001494730-16-000007,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000007/edgardoc.xml
2016-05-23,2016-05-19,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),M,exercise/conversion of derivative,D,3355986.0,0.0,0.0,0,D,6.63,3355986,,0001494730-16-000007,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000007/edgardoc.xml
2016-05-26,2016-05-25,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,2782670.0,213.22,593320897.4,31100644,I,,,,0001494730-16-000008,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000008/edgardoc.xml
2016-11-23,2016-11-21,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,A,grant/award/acquisition,A,2403024,0.0,0.0,33503668,I,,,,0001494730-16-000009,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000009/edgardoc.xml
2016-11-23,2016-11-21,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),A,grant/award/acquisition,A,3300,0.0,0.0,3300,D,568.28,3300,,0001494730-16-000009,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000009/edgardoc.xml
2016-11-23,2016-11-21,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Zero Coupon Convertible Senior Notes due 2020,A,grant/award/acquisition,A,10000000,0.0,0.0,10000000,I,300.0,10000000,,0001494730-16-000009,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000009/edgardoc.xml
2016-11-23,2016-11-21,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,D,disposition to issuer,D,21845674,,,0,I,,,,0001408356-16-000172,https://www.sec.gov/Archives/edgar/data/1494730/000140835616000172/edgar.xml
2016-11-23,2016-11-21,4,SOLARCITY CORP,SCTY,0001408356,deriv,Option to Purchase Common Stock,D,disposition to issuer,D,30000,0,0.0,0,D,62.51,30000,,0001408356-16-000172,https://www.sec.gov/Archives/edgar/data/1494730/000140835616000172/edgar.xml
2017-03-21,2017-03-17,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,95420,262.0,25000040.0,33599088,I,,,,0001494730-17-000001,https://www.sec.gov/Archives/edgar/data/1494730/000149473017000001/edgardoc.xml
2017-04-25,2017-04-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,C,conversion of derivative,A,33333,300.0,9999900.0,33632421,I,,,,0001494730-17-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473017000002/edgardoc.xml
2017-04-25,2017-04-21,4,"Tesla, Inc.",TSLA,0001318605,deriv,Zero Coupon Convertible Senior Notes due 2020,C,conversion of derivative,D,10000000,0.0,0.0,0,I,300.0,10000000,,0001494730-17-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473017000002/edgardoc.xml
2018-03-21,2018-03-21,4,"Tesla, Inc.",TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),A,grant/award/acquisition,A,20264042,0.0,0.0,20264042,D,350.02,20264042,,0001494730-18-000001,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000001/edgardoc.xml
2018-05-07,2018-05-07,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,5903,295.028,1741550.28,33638324,I,,,,0001494730-18-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000002/edgardoc.xml
2018-05-07,2018-05-07,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,4845,296.311,1435626.79,33643169,I,,,,0001494730-18-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000002/edgardoc.xml
2018-05-07,2018-05-07,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,3508,297.151,1042405.71,33646677,I,,,,0001494730-18-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000002/edgardoc.xml
2018-05-07,2018-05-07,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,4514,298.01,1345217.14,33651191,I,,,,0001494730-18-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000002/edgardoc.xml
2018-05-07,2018-05-07,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,739,299.252,221147.23,33651930,I,,,,0001494730-18-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000002/edgardoc.xml
2018-05-07,2018-05-07,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,4358,300.012,1307452.3,33656288,I,,,,0001494730-18-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000002/edgardoc.xml
2018-05-07,2018-05-07,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,3000,301.376,904128.0,33659288,I,,,,0001494730-18-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000002/edgardoc.xml
2018-05-07,2018-05-07,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,6133,302.133,1852981.69,33665421,I,,,,0001494730-18-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000002/edgardoc.xml
2018-06-13,2018-06-12,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,37023,342.775,12690558.82,33702444,I,,,,0001494730-18-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000005/edgardoc.xml
2018-06-13,2018-06-12,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,14509,343.855,4988992.2,33716953,I,,,,0001494730-18-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000005/edgardoc.xml
2018-06-13,2018-06-12,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,3468,344.829,1195866.97,33720421,I,,,,0001494730-18-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000005/edgardoc.xml
2018-06-13,2018-06-13,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,2297,342.782,787370.25,33722718,I,,,,0001494730-18-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000005/edgardoc.xml
2018-06-13,2018-06-13,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,2431,343.791,835755.92,33725149,I,,,,0001494730-18-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000005/edgardoc.xml
2018-06-13,2018-06-13,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,2114,344.957,729239.1,33727263,I,,,,0001494730-18-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000005/edgardoc.xml
2018-06-13,2018-06-13,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,6032,346.637,2090914.38,33733295,I,,,,0001494730-18-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000005/edgardoc.xml
2018-06-13,2018-06-13,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,4626,347.001,1605226.63,33737921,I,,,,0001494730-18-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000005/edgardoc.xml
2018-10-30,2018-10-29,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,9439,334.24,3154891.36,33747360,I,,,,0001494730-18-000006,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000006/edgardoc.xml
2018-10-30,2018-10-29,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,19105,335.287,6405658.13,33766465,I,,,,0001494730-18-000006,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000006/edgardoc.xml
2018-10-30,2018-10-29,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,1300,335.932,436711.6,33767765,I,,,,0001494730-18-000006,https://www.sec.gov/Archives/edgar/data/1494730/000149473018000006/edgardoc.xml
2018-11-09,2018-11-09,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,A,grant/award/acquisition,A,56915,351.4,19999931.0,33824680,I,,,,0001494727-18-000003,https://www.sec.gov/Archives/edgar/data/1494730/000149472718000003/edgardoc.xml
2019-05-06,2019-05-02,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,102880,243.0,24999840.0,33927560,I,,,,0001494730-19-000001,https://www.sec.gov/Archives/edgar/data/1494730/000149473019000001/edgardoc.xml
