filing_date,form,accession,primary_document,url
2017-03-21,4,0001494730-17-000001,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473017000001/xslF345X03/edgardoc.xml
2017-02-09,SC 13G/A,0001193125-17-036276,d272090dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312517036276/d272090dsc13ga.htm
2016-11-23,4,0001494730-16-000009,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000009/xslF345X03/edgardoc.xml
2016-11-23,4,0001408356-16-000172,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835616000172/xslF345X03/edgar.xml
2016-11-21,SC 13D/A,0001193125-16-773800,d275209dsc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312516773800/d275209dsc13da.htm
2016-08-01,SC 13D/A,0001193125-16-665628,d219407dsc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312516665628/d219407dsc13da.htm
2016-06-21,SC 13D/A,0001193125-16-627927,d214811dsc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312516627927/d214811dsc13da.htm
2016-05-26,4,0001494730-16-000008,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000008/xslF345X03/edgardoc.xml
2016-05-23,4,0001494730-16-000007,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000007/xslF345X03/edgardoc.xml
2016-02-16,5,0001408356-16-000117,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835616000117/xslF345X03/edgar.xml
2016-02-16,SC 13D/A,0001193125-16-465420,d141739dsc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312516465420/d141739dsc13da.htm
2016-02-12,4,0001408356-16-000114,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835616000114/xslF345X03/edgar.xml
2016-02-12,SC 13G/A,0001193125-16-462449,d133944dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312516462449/d133944dsc13ga.htm
