filing_date,form,accession,primary_document,url
2022-04-14,SC 13D/A,0001104659-22-045641,tm2212748d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922045641/tm2212748d1_sc13da.htm
2022-04-11,SC 13D/A,0001104659-22-044481,tm2212422d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922044481/tm2212422d1_sc13da.htm
2022-04-05,SC 13D,0001104659-22-042863,tm2211757d1_sc13d.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922042863/tm2211757d1_sc13d.htm
2022-04-04,SC 13G,0001104659-22-041911,tm2211482d1_sc13g.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922041911/tm2211482d1_sc13g.htm
2022-02-15,SC 13G/A,0001193125-22-042366,d255338dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312522042366/d255338dsc13ga.htm
2022-02-14,5,0000899243-22-006240,xslF345X03/doc5.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322006240/xslF345X03/doc5.xml
2021-12-28,4,0000899243-21-049993,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049993/xslF345X03/doc4.xml
2021-12-28,4,0000899243-21-049992,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049992/xslF345X03/doc4.xml
2021-12-22,4,0000899243-21-049479,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/xslF345X03/doc4.xml
2021-12-22,4,0000899243-21-049477,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/xslF345X03/doc4.xml
2021-12-21,4,0000899243-21-049325,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/xslF345X03/doc4.xml
2021-12-21,4,0000899243-21-049309,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/xslF345X03/doc4.xml
2021-12-16,4,0000899243-21-048679,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048679/xslF345X03/doc4.xml
2021-12-16,4,0000899243-21-048676,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/xslF345X03/doc4.xml
2021-12-13,4,0000899243-21-047960,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321047960/xslF345X03/doc4.xml
2021-12-13,4,0000899243-21-047959,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321047959/xslF345X03/doc4.xml
2021-12-09,4,0000899243-21-047608,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924321047608/xslF345X03/doc4.xml
