date,shares_mm_adjusted,basis,note
2010-06-29,405,b,~IPO beneficial stake (split-adjusted to today)
2012-12-31,408,b,beneficial common (adj)
2016-12-30,503,b,beneficial common (adj)
2018-12-31,506,b,beneficial common (adj)
2020-12-31,511,b,beneficial common (adj) pre-sale peak
2021-12-31,478,b,after first 2021 sale wave (adj)
2022-12-30,412,b,after 2022 sale wave (adj)
2024-12-31,411,b,beneficial common (adj)
2026-06-16,710,b,after exercising 2018 CEO award options (~22%)
