filing_date,form,accession,url
2025-10-22,DEFA14A,0001104659-25-101559,https://www.sec.gov/Archives/edgar/data/1318605/000110465925101559/tm252289d40_defa14a.htm
2025-10-22,8-K,0001628280-25-045861,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045861/tsla-20251022.htm
2025-10-21,DEFA14A,0001104659-25-101278,https://www.sec.gov/Archives/edgar/data/1318605/000110465925101278/tm252289d39_defa14a.htm
2025-10-20,DEFA14A,0001104659-25-100890,https://www.sec.gov/Archives/edgar/data/1318605/000110465925100890/tm252289d38_defa14a.htm
2025-10-17,DEFA14A,0001104659-25-100451,https://www.sec.gov/Archives/edgar/data/1318605/000110465925100451/tm252289d37_defa14a.htm
2025-10-16,PX14A6G,0001214659-25-015003,https://www.sec.gov/Archives/edgar/data/1318605/000121465925015003/g1016251px14a6g.htm
2025-10-15,DEFA14A,0001104659-25-099767,https://www.sec.gov/Archives/edgar/data/1318605/000110465925099767/tm252289d36_defa14a.htm
2025-10-14,DEFA14A,0001104659-25-099333,https://www.sec.gov/Archives/edgar/data/1318605/000110465925099333/tm252289d35_defa14a.htm
2025-10-10,DEFA14A,0001104659-25-098750,https://www.sec.gov/Archives/edgar/data/1318605/000110465925098750/tm252289d34_defa14a.htm
2025-10-09,DEFA14A,0001104659-25-098386,https://www.sec.gov/Archives/edgar/data/1318605/000110465925098386/tm252289d33_defa14a.htm
2025-10-08,PX14A6G,0001214659-25-014757,https://www.sec.gov/Archives/edgar/data/1318605/000121465925014757/i108250px14a6g.htm
2025-10-07,DEFA14A,0001104659-25-097534,https://www.sec.gov/Archives/edgar/data/1318605/000110465925097534/tm252289d32_defa14a.htm
2025-10-06,DEFA14A,0001104659-25-097170,https://www.sec.gov/Archives/edgar/data/1318605/000110465925097170/tm252289d31_defa14a.htm
2025-10-06,DEFA14A,0001104659-25-097147,https://www.sec.gov/Archives/edgar/data/1318605/000110465925097147/tm252289d30_defa14a.htm
2025-10-03,DEFA14A,0001104659-25-096699,https://www.sec.gov/Archives/edgar/data/1318605/000110465925096699/tm252289d29_defa14a.htm
2025-10-02,DEFA14A,0001104659-25-096138,https://www.sec.gov/Archives/edgar/data/1318605/000110465925096138/tm252289d28_defa14a.htm
2025-10-02,PX14A6G,0001214659-25-014515,https://www.sec.gov/Archives/edgar/data/1318605/000121465925014515/o102255px14a6g.htm
2025-10-02,PX14A6G,0001214659-25-014509,https://www.sec.gov/Archives/edgar/data/1318605/000121465925014509/j102251px14a6g.htm
2025-10-02,8-K,0001628280-25-043530,https://www.sec.gov/Archives/edgar/data/1318605/000162828025043530/tsla-20251002.htm
2025-10-01,DEFA14A,0001104659-25-095672,https://www.sec.gov/Archives/edgar/data/1318605/000110465925095672/tm252289d27_defa14a.htm
2025-09-30,DEFA14A,0001104659-25-095099,https://www.sec.gov/Archives/edgar/data/1318605/000110465925095099/tm252289d26_defa14a.htm
2025-09-29,DEFA14A,0001104659-25-094562,https://www.sec.gov/Archives/edgar/data/1318605/000110465925094562/tm252289d25_defa14a.htm
2025-09-26,DEFA14A,0001104659-25-093905,https://www.sec.gov/Archives/edgar/data/1318605/000110465925093905/tm252289d24_defa14a.htm
2025-09-25,DEFA14A,0001104659-25-093411,https://www.sec.gov/Archives/edgar/data/1318605/000110465925093411/tm252289d23_defa14a.htm
2025-09-24,DEFA14A,0001104659-25-092988,https://www.sec.gov/Archives/edgar/data/1318605/000110465925092988/tm252289d22_defa14a.htm
2025-09-24,PX14A6G,0001214659-25-014113,https://www.sec.gov/Archives/edgar/data/1318605/000121465925014113/p924253px14a6g.htm
2025-09-23,DEFA14A,0001104659-25-092572,https://www.sec.gov/Archives/edgar/data/1318605/000110465925092572/tm252289d21_defa14a.htm
2025-09-22,DEFA14A,0001104659-25-092175,https://www.sec.gov/Archives/edgar/data/1318605/000110465925092175/tm252289d20_defa14a.htm
2025-09-22,PX14A6G,0001096906-25-001550,https://www.sec.gov/Archives/edgar/data/1318605/000109690625001550/ncppr_px14a6g.htm
2025-09-19,DEFA14A,0001104659-25-091707,https://www.sec.gov/Archives/edgar/data/1318605/000110465925091707/tm252289d19_defa14a.htm
2025-09-18,DEFA14A,0001104659-25-091323,https://www.sec.gov/Archives/edgar/data/1318605/000110465925091323/tm252289d18_defa14a.htm
2025-09-17,4,0001104659-25-090923,https://www.sec.gov/Archives/edgar/data/1318605/000110465925090923/xslF345X05/tm2526179-1_4seq1.xml
2025-09-17,DEFA14A,0001104659-25-090888,https://www.sec.gov/Archives/edgar/data/1318605/000110465925090888/tm252289d17_defa14a.htm
2025-09-17,DEFA14A,0001104659-25-090886,https://www.sec.gov/Archives/edgar/data/1318605/000110465925090886/tm252289d16_defa14a.htm
2025-09-17,DEFA14A,0001104659-25-090884,https://www.sec.gov/Archives/edgar/data/1318605/000110465925090884/tm252289d15_defa14a.htm
2025-09-17,ARS,0001104659-25-090875,https://www.sec.gov/Archives/edgar/data/1318605/000110465925090875/tm252787d3_ars.pdf
2025-09-17,DEFA14A,0001104659-25-090868,https://www.sec.gov/Archives/edgar/data/1318605/000110465925090868/tm252289d14_defa14a.htm
2025-09-17,DEF 14A,0001104659-25-090866,https://www.sec.gov/Archives/edgar/data/1318605/000110465925090866/tm252289-12_def14a.htm
2025-09-16,DEFA14A,0001104659-25-090460,https://www.sec.gov/Archives/edgar/data/1318605/000110465925090460/tm2525295d5_defa14a.htm
2025-09-15,144,0001968582-25-000917,https://www.sec.gov/Archives/edgar/data/1318605/000196858225000917/xsl144X01/primary_doc.xml
